"gene","rho","p.value"
"Rpl4",0.80952380952381,0.0149026676862301
"Sepsecs",0.80952380952381,0.0149026676862301
"Shroom4",0.80952380952381,0.0149026676862301
"Slc25a26",0.80952380952381,0.0149026676862301
"Slc35b2",0.80952380952381,0.0149026676862301
"Slc7a5",0.80952380952381,0.0149026676862301
"Smtnl2",0.80952380952381,0.0149026676862301
"Sorcs2",0.80952380952381,0.0149026676862301
"Tmem167b",0.80952380952381,0.0149026676862301
"Tsacc",0.80952380952381,0.0149026676862301
"Ubxn6",0.80952380952381,0.0149026676862301
"Uqcrh",0.80952380952381,0.0149026676862301
"Vamp3",0.80952380952381,0.0149026676862301
"Vps18",0.80952380952381,0.0149026676862301
"Zfyve19",0.80952380952381,0.0149026676862301
"2810008D09Rik",0.785714285714286,0.0208151272535253
"8430408G22Rik",0.785714285714286,0.0208151272535253
"9530003J23Rik",0.785714285714286,0.0208151272535253
"Atf5",0.785714285714286,0.0208151272535253
"Atp6v0d1",0.785714285714286,0.0208151272535253
"Bad",0.785714285714286,0.0208151272535253
"Cln5",0.785714285714286,0.0208151272535253
"Col6a2",0.785714285714286,0.0208151272535253
"Commd5",0.785714285714286,0.0208151272535253
"D8Ertd738e",0.785714285714286,0.0208151272535253
"Dffa",0.785714285714286,0.0208151272535253
"Dync1li1",0.785714285714286,0.0208151272535253
"Eif4h",0.785714285714286,0.0208151272535253
"Emc7",0.785714285714286,0.0208151272535253
"Gata6",0.785714285714286,0.0208151272535253
"Gm20417",0.785714285714286,0.0208151272535253
"Gm5428",0.785714285714286,0.0208151272535253
"Gosr2",0.785714285714286,0.0208151272535253
"Hbp1",0.785714285714286,0.0208151272535253
"Hspb11",0.785714285714286,0.0208151272535253
"Igbp1",0.785714285714286,0.0208151272535253
"Klhl20",0.785714285714286,0.0208151272535253
"Lig4",0.785714285714286,0.0208151272535253
"Lipt1",0.785714285714286,0.0208151272535253
"Mall",0.785714285714286,0.0208151272535253
"Mrpl47",0.785714285714286,0.0208151272535253
"Mysm1",0.785714285714286,0.0208151272535253
"Ogfod2",0.785714285714286,0.0208151272535253
"Pde6d",0.785714285714286,0.0208151272535253
"Pex26",0.785714285714286,0.0208151272535253
"Pigm",0.785714285714286,0.0208151272535253
"Prkra",0.785714285714286,0.0208151272535253
"Ptpn1",0.785714285714286,0.0208151272535253
"Rbm5",0.785714285714286,0.0208151272535253
"Sars",0.785714285714286,0.0208151272535253
"Slc35e2",0.785714285714286,0.0208151272535253
"Suclg2",0.785714285714286,0.0208151272535253
"Tmem87b",0.785714285714286,0.0208151272535253
"Ubfd1",0.785714285714286,0.0208151272535253
"Usp40",0.785714285714286,0.0208151272535253
"Wdyhv1",0.785714285714286,0.0208151272535253
"Ythdf2",0.785714285714286,0.0208151272535253
"Zadh2",0.785714285714286,0.0208151272535253
"0610040J01Rik",0.761904761904762,0.0280049391530718
"3110043O21Rik",0.761904761904762,0.0280049391530718
"5031425E22Rik",0.761904761904762,0.0280049391530718
"Agl",0.761904761904762,0.0280049391530718
"Atp1b1",0.761904761904762,0.0280049391530718
"B630005N14Rik",0.761904761904762,0.0280049391530718
"Blvrb",0.761904761904762,0.0280049391530718
"Btf3",0.761904761904762,0.0280049391530718
"Btf3l4",0.761904761904762,0.0280049391530718
"Cdyl2",0.761904761904762,0.0280049391530718
"Coro1b",0.761904761904762,0.0280049391530718
"Crb3",0.761904761904762,0.0280049391530718
"Cul4a",0.761904761904762,0.0280049391530718
"Dcaf8",0.761904761904762,0.0280049391530718
"Dhx40",0.761904761904762,0.0280049391530718
"Dmtf1",0.761904761904762,0.0280049391530718
"Dpp3",0.761904761904762,0.0280049391530718
"E2f2",0.761904761904762,0.0280049391530718
"Eed",0.761904761904762,0.0280049391530718
"Eef1b2",0.761904761904762,0.0280049391530718
"Erp44",0.761904761904762,0.0280049391530718
