name	description	E16.5	E18.5	PND1	PND3	PND7	PND10	PND14	PND28
Fzd8	na	2.2999422833001	2.2371190434916	2.9651333437187	2.4593965207944	2.31954588468525	2.5679955950124	2.82965837632119	2.25010103189168
Gabarapl2	na	4.7787637821054	5.37712223843229	6.02026885096346	5.28507262173419	5.62435818123911	4.90632404950525	5.1329752329186	6.07559405834909
Gabpb1	na	3.5731056103738	4.06412588516894	4.2658662658168	4.06286833631536	4.1854184049706	4.02745799144604	3.80383469980528	4.49420189218244
Gabre	na	2.04274481360211	1.87083741381448	2.59652790714951	2.30424498753705	2.22447221631708	2.02950145346589	2.18827944965174	2.23264717754896
Gadd45a	na	3.12965992407855	3.11181028785572	3.85399945981145	3.5290886919329	3.57207872701289	3.40422116733624	3.59588488990862	3.70200371978649
Gal3st1	na	2.53777809878455	2.53283924892111	3.1635260325954	2.62571904466082	2.58515976628137	2.80963218553463	2.95556432024036	2.99210931063368
Gale	na	2.59342339695629	3.54546223947899	2.51066112120394	2.6147074710127	2.87921755713858	2.4041352233843	2.87947945418504	3.30814168765056
Ganab	na	5.09065651344384	5.47853903071576	5.57818046010327	5.47983105708689	5.48449372594493	5.51147261577091	5.79457377153912	5.52423607501603
Garnl3	na	2.15929618199097	1.78050818789391	2.70458336051975	2.50958644434356	2.26656545389558	2.30489406092684	2.35653957709022	2.51795256918451
Gas2l1	na	3.45520618944138	3.4734974087505	4.38112715279538	4.12319906423765	3.56293052279608	3.82716784236878	4.17919317905451	4.24711396008821
Gcdh	na	3.28608061499831	3.88393108470155	3.84454962211417	3.67001782402252	3.60342296859729	3.6575494656669	3.68826490729686	3.80809845221859
Gclm	na	3.6883525589576	4.48510096207828	4.33982226141989	4.47035883978273	4.32654029955176	4.01806067832872	4.08629618151484	4.29759017510621
Gcn1l1	na	3.48616657955627	2.28449581909276	3.35017749365462	2.95065873924711	2.88704745692157	3.21562376695705	2.57299198484685	3.45053098837245
Gdap2	na	1.8331392102109	1.91601765158345	2.2378872646489	1.92047800300648	1.95902155894064	2.04263618308542	1.76194177071798	1.83547193913789
Gde1	na	6.67034521394224	7.60540220178252	8.40489821346729	8.05073583903306	7.63199234834773	7.51909859517977	7.71280014140372	7.72993829235084
Gdi1	na	5.55764736866151	5.91664932608422	5.35670221912604	5.40618379396114	5.63872641760323	5.3337062451383	5.51213231809488	5.89175629951337
Gdpd1	na	4.87506564264737	5.40069188192663	5.33268194343955	5.62546578593687	4.62341714335585	4.65138280756071	5.38436257215445	4.92769313410843
Gfer	na	3.84740130301323	4.82652808681581	4.5380727718558	4.38056223897371	4.53854916973506	4.24818897711858	4.51644704981736	4.58313374894293
Gga1	na	4.48810672631049	4.63277827741407	5.14726910634353	4.59499605113387	4.3079757020919	4.39064725870917	4.1695645628691	3.924697312152
Ggps1	na	2.91944303430598	3.58626661425452	3.31335018016157	3.5659666947175	3.2286643319456	2.81028214256635	3.2654745929599	3.12799272647461
Gigyf1	na	4.77035742030081	4.31169708170626	5.54898717708776	4.84642835790317	4.87797481905945	4.60250133399306	5.1352555675173	5.27801235528046
Git1	na	2.64915402668702	2.45418301583144	3.25236702326128	2.9952662043692	2.83557637030848	2.80932664110842	3.03373108342701	3.22037165845139
Gjb6	na	3.53101473265879	4.46753283414353	4.6032767217537	4.18656078742405	3.4017653365725	3.57882386318209	3.82751171395945	4.47736152841552
Glcci1	na	2.21886953787225	2.20257865280717	2.75735597276875	2.10815871115392	2.64704603409144	2.10147344202532	2.40283985303167	2.72961979044155
Glmn	na	2.49899044943406	3.03197743907499	2.6465215900613	2.71812532743451	2.94311524677283	2.59394877835221	2.74571783747805	2.62478010182658
Glo1	na	4.43059138122511	5.59557795118924	5.4020824341082	5.49133253179279	5.51095885208141	5.3658466778098	5.0121017555351	5.67330932820479
Gm10288	na	4.13541877048121	4.83403633009414	6.60244399841179	4.54083227842104	4.61374851396091	4.33567040712603	5.01362781926422	4.92583148139144
Gm10320	na	4.12493683443804	4.67127178477385	4.59654586366401	4.04974263299382	4.56496804542761	3.65635837415537	4.17459949448459	4.99257963231623
Gm10704	na	2.02656085028768	2.23066884995509	2.23542083798813	2.02663215565663	2.29506862618739	2.02016507232149	2.09577796439422	2.39235498097914
Gm11423	na	2.43605591492168	2.55076359719343	2.93236432644182	2.63685002457843	2.76548054837867	2.73581258510046	2.40891992907454	2.74882187424195
Gm11613	na	0.205614064176232	0.133150340168976	0.26453691696284	0.303526605128052	-0.032624005856238	-0.0347743959378064	0.186954053265962	0.043704678906878
Gm14167	na	0.776392125967785	0.787346989797316	0.830748876286357	0.838073520924647	0.572274161060075	0.833778094819761	0.726110650671866	0.589374293529497
Gm15623	na	-0.488589111407915	-0.693597666943129	-0.444751781333881	-0.504260147992659	-0.614605272246031	-0.621934797462587	-0.676971632034546	-0.609046197724512
Gm15675	na	2.18781325769843	2.1379811156288	2.72060101677536	2.55975691944885	2.13123271503633	2.51643494009536	2.4459220789298	2.15429212964798
Gm15706	na	2.57083917468906	2.71613398096656	3.04195020659717	3.13644028898232	2.93148327190066	2.68190685457804	2.73216143889316	2.68299441488607
Gm16124	na	3.10965657983273	3.03590293071366	4.05396831520635	3.76280498334625	3.01550826016739	3.29762360077206	3.75782420166404	3.69320184537643
Gm16153	na	-0.347313718114075	-0.495472144411985	-0.301312627980093	-0.369783726119482	-0.479068383601912	-0.486384251712223	-0.539722686098426	-0.473716427302077
Gm16279	na	-0.190882858643016	-0.352329418412453	-0.140602359532426	-0.070875831653829	-0.405900194099609	-0.342098846127918	-0.395555086090665	-0.329044612818675
Gm16490	na	0.719591751044212	0.574916437052633	0.77726312617456	0.837366586891312	0.579547525147701	0.625046719783043	0.56856630135659	0.767148871801237
Gm16493	na	1.24617258254335	1.131127771954	1.29068670453689	1.6696295558818	1.12290312694803	1.35967842950644	1.25058641588326	1.04157285420799
