"gene","rho","p.value"
"Ccl27a",0.511764705882353,0.0427234481633318
"Gm10704",0.511764705882353,0.0427234481633318
"Hccs",0.511764705882353,0.0427234481633318
"Ier3",0.511764705882353,0.0427234481633318
"Tmco3",0.511764705882353,0.0427234481633318
"Usp3",0.511764705882353,0.0427234481633318
"Vnn3",0.511764705882353,0.0427234481633318
"Dnm2",0.508823529411765,0.0441352182349839
"Fam57a",0.508823529411765,0.0441352182349839
"Gga1",0.508823529411765,0.0441352182349839
"Gjb6",0.508823529411765,0.0441352182349839
"Morc2a",0.508823529411765,0.0441352182349839
"Nelfcd",0.508823529411765,0.0441352182349839
"Ppat",0.508823529411765,0.0441352182349839
"Ppp1r14b",0.508823529411765,0.0441352182349839
"Rab3a",0.508823529411765,0.0441352182349839
"Rpl36a",0.508823529411765,0.0441352182349839
"Tmem60",0.508823529411765,0.0441352182349839
"1110012L19Rik",0.505882352941176,0.0455816161239403
"2310014L17Rik",0.505882352941176,0.0455816161239403
"Arl6ip6",0.505882352941176,0.0455816161239403
"Ccdc64",0.505882352941176,0.0455816161239403
"Col27a1",0.505882352941176,0.0455816161239403
"Plekhg5",0.505882352941176,0.0455816161239403
"Rpl7",0.505882352941176,0.0455816161239403
"Zfp84",0.505882352941176,0.0455816161239403
"Adhfe1",0.502941176470588,0.0470631404672732
"Ak4",0.502941176470588,0.0470631404672732
"Col23a1",0.502941176470588,0.0470631404672732
"Eci2",0.502941176470588,0.0470631404672732
"Eif3g",0.502941176470588,0.0470631404672732
"Gm8186",0.502941176470588,0.0470631404672732
"Hscb",0.502941176470588,0.0470631404672732
"Pigu",0.502941176470588,0.0470631404672732
"Prmt7",0.502941176470588,0.0470631404672732
"Rasl11a",0.502941176470588,0.0470631404672732
"Rpl41",0.502941176470588,0.0470631404672732
"Tcn2",0.502941176470588,0.0470631404672732
"Ergic1",0.5,0.0485802888870239
"mt-Co1",0.5,0.0485802888870239
"Ncln",0.5,0.0485802888870239
"Rchy1",0.5,0.0485802888870239
"Sepsecs",0.5,0.0485802888870239
"Snhg7",0.5,0.0485802888870239
"Tmem128",0.5,0.0485802888870239
"Trim34a",0.5,0.0485802888870239
"Aif1l",0.497058823529412,0.0501335578037742
"Atp11b",0.497058823529412,0.0501335578037742
"Dnajb12",0.497058823529412,0.0501335578037742
"Gm10094",0.497058823529412,0.0501335578037742
"Qrich1",0.497058823529412,0.0501335578037742
"Rnft1",0.497058823529412,0.0501335578037742
"Stx4a",0.497058823529412,0.0501335578037742
"Trappc6a",0.497058823529412,0.0501335578037742
"1810026J23Rik",0.494117647058823,0.0517234422492354
"Aqp1",0.494117647058823,0.0517234422492354
"Capn5",0.494117647058823,0.0517234422492354
"Ccdc57",0.494117647058823,0.0517234422492354
"H2afj",0.494117647058823,0.0517234422492354
"Kctd10",0.494117647058823,0.0517234422492354
"Mrps7",0.494117647058823,0.0517234422492354
"Nhej1",0.494117647058823,0.0517234422492354
"Noxa1",0.494117647058823,0.0517234422492354
"Rrn3",0.494117647058823,0.0517234422492354
"Slc38a1",0.494117647058823,0.0517234422492354
"Smtnl2",0.494117647058823,0.0517234422492354
"Trib3",0.494117647058823,0.0517234422492354
"Abhd11",0.491176470588235,0.0533504356779434
"Cklf",0.491176470588235,0.0533504356779434
"Fam69a",0.491176470588235,0.0533504356779434
"Fgd2",0.491176470588235,0.0533504356779434
"Gja1",0.491176470588235,0.0533504356779434
"Gpt2",0.491176470588235,0.0533504356779434
